City;Lat;Lon
Solarolo Rainerio, Giuseppina, 81;45.0801161;10.3662167
Camisano, Trieste, 57;45.4550646;9.7402424
Ostiano, Mazzini, 1;45.222893;10.2512134
Cremona, Felice Cavallotti, 2;45.1338961;10.0205751
Cremona, Palosca n. 2;45.1263698;10.0627794
Cremona, Ugolani Dati, 4;45.1379209;10.0208578
Monte Cremasco, Roma, 12;45.3716025;9.5725999
Palazzo Pignano, Marco Polo, 31;45.3914508;9.5920522
Bagnolo Cremasco, Roma, 3;45.3613279;9.6089067
Piadena, Platina, 40;45.1359045;10.3690259
Pizzighettone, Giuseppe Garibaldi, 18;45.1863667;9.7826089
Soresina, Giacomo Matteotti, 6;45.2858149;9.8569465
Casaletto Vaprio, Maggiore, 7;45.4084978;9.62918198238575
Castelleone, Roma, 67;45.2930333;9.7628119
Soncino, Dante Alighieri, 23;45.4002336;9.8715521
Casale Cremasco-Vidolasco, Roma, 56;45.4350506;9.7132586
Ripalta Cremasca, Roma, 5;45.328255;9.6950522
Ostiano;45.220775;10.252075
Bonemerse, Roma, 25;45.1135659;10.0777484
Castelverde, Ubaldo Ferrari, 15;45.1885569;9.9937949
Martignana di Po, Libertà, 64;45.010278;10.380106
Agnadello, Marconi, 6;45.4452793;9.5563573
Grontardo, Roma, 16;45.2010525;10.1508238
Sergnano, IV Novembre,  10;45.4277617;9.7038163
Capergnanica, XI febbraio, 7;45.337344650000006;9.644145338793725
Gadesco-Pieve Delmona, Giovanni Lonati 9;45.1578591;10.1073751
Madignano, Portici, 4;45.3448844;9.7255069
Isola Dovarese, Giacomo Matteotti, 1;45.17597335000001;10.312282545095321
Casalpusterlengo, Pusterla 7;45.1786381;9.648756133521518
Viadana, A. Manzoni, 2;44.9286315;10.5206904
Pescarolo ed Uniti, Giuseppe Mazzini, 73;45.19375;10.1877976
Ricengo, Guglielmo Marconi;45.40539;9.7220765
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;45.0293646;10.4696107
Izano, Gerardo da Izano, 4/C;45.3566108;9.7546913
Trescore Cremasco, Vittorio Veneto, 1;45.4030281;9.6170341
Pandino, Castello, 15;45.40587995;9.55302875
Trigolo, Roma, 26;45.3279049;9.8214565
Sesto ed Uniti, Roma, 4;45.1761671;9.9157889
San Giovanni in Croce, Feudatari, 25 A;45.0774005;10.3723335
Crema, Civerchi, 9;45.3639084;9.6898131
Dovera, Oldrini 2;45.3655771;9.5399897
Paderno Ponchielli, Municipio, 3;45.2442848;9.882548801527136
Persico Dosimo, Albert ,7;45.167349200000004;10.07480680806962
Rivolta d'Adda, Stefano Renzi, 5;45.4703433;9.5144201
Montodine,  XXV Aprile, 10;45.28547455;9.709405303922916
Pianengo, Nenni;45.4000297;9.693098
Casalbuttano ed Uniti, Jacini, 23;45.2517387;9.962498
Capralba, Piave, 2;45.44410095;9.640109670153539
Cingia de' Botti, Giuseppina, 79;45.0836983;10.2870706
Casalmaggiore, Guglielmo Marconi, 8;44.98600005;10.414756862521067
Manerbio, INSURREZIONE NAZIONALE;45.3542195;10.1378018
Scandolara Ravara, Italia;45.0531197;10.3016995
Sospiro, Tosi;45.1080541;10.1593197
Offanengo, Clavelli Martini, 5;45.3825964;9.7434649
Spino d'Adda, Circonvallazione, 13;45.4011459;9.4939091
Romanengo, Guaiarini, 14;45.3756072;9.7941678
Vaiano Cremasco,  Gloriosi Caduti, 3;45.3701175;9.588953759612014
Grumello Cremonese ed Uniti, Roma, 2;45.1982786;9.8676043
Gussola, Comaschi, 1;45.0071153;10.3506682
Cremona, Ugolani Dati, 4.1;45.1379686;10.0216401
Crema, Dante Alighieri, 49;45.361273;9.6904262
Fiesco, Giuseppe Parini, 10;45.336601;9.7796805
Annicco, Giuseppe Garibaldi, 6;45.2439933;9.8823908
San Bassano, Mons. Frosi (ex piazza Scuole);45.244389350000006;9.807760160319177
Vailate, Dante Alighieri, 7;45.4618837;9.6055706
San Giovanni in Croce;45.078872;10.37518
Cremona, Sesto 39;45.1864365;9.935128189199943
Vescovato, Roma, 44;45.1772321;10.166256100263851
