0 0 0 0 0
0 0 0 1 0
0 0 0 2 0
0 0 0 3 0
0 0 0 4 0
0 0 1 0 0
0 0 1 1 0
0 0 1 2 0
0 0 1 3 0
0 0 1 4 0
0 0 2 0 0
0 0 2 1 0
0 0 2 2 0
0 0 2 3 0
0 0 2 4 0
0 0 3 0 0
0 0 3 1 0
0 0 3 2 0
0 0 3 3 0
0 0 3 4 0
0 0 4 0 0
0 0 4 1 0
0 0 4 2 0
0 0 4 3 0
0 0 4 4 0
0 0 5 0 0
0 0 5 1 0
0 0 5 2 0
0 0 5 3 0
0 0 5 4 0
0 0 6 0 0
0 0 6 1 0
0 0 6 2 0
0 0 6 3 0
0 0 6 4 0
0 0 7 0 0
0 0 7 1 0
0 0 7 2 0
0 0 7 3 0
0 0 7 4 0
0 0 8 0 0
0 0 8 1 0
0 0 8 2 0
0 0 8 3 0
0 0 8 4 0
0 0 9 0 0
0 0 9 1 0
0 0 9 2 0
0 0 9 3 0
0 0 9 4 0
0 0 10 0 0
0 0 10 1 0
0 0 10 2 0
0 0 10 3 0
0 0 10 4 0
0 0 11 0 0
0 0 11 1 0
0 0 11 2 0
0 0 11 3 0
0 0 11 4 0
0 0 12 0 0
0 0 12 1 0
0 0 12 2 0
0 0 12 3 0
0 0 12 4 0
0 0 13 0 0
0 0 13 1 0
0 0 13 2 0
0 0 13 3 0
0 0 13 4 0
0 0 14 0 0
0 0 14 1 0
0 0 14 2 0
0 0 14 3 0
0 0 14 4 0
0 0 15 0 0
0 0 15 1 0
0 0 15 2 0
0 0 15 3 0
0 0 15 4 0
0 0 16 0 0
0 0 16 1 0
0 0 16 2 0
0 0 16 3 0
0 0 16 4 0
0 0 17 0 0
0 0 17 1 0
0 0 17 2 0
0 0 17 3 0
0 0 17 4 0
0 0 18 0 0
0 0 18 1 0
0 0 18 2 0
0 0 18 3 0
0 0 18 4 0
0 0 19 0 0
0 0 19 1 0
0 0 19 2 0
0 0 19 3 0
0 0 19 4 0
0 0 20 0 0
0 0 20 1 0
0 0 20 2 0
0 0 20 3 0
0 0 20 4 0
0 0 21 0 0
0 0 21 1 0
0 0 21 2 0
0 0 21 3 0
0 0 21 4 0
0 0 22 0 0
0 0 22 1 0
0 0 22 2 0
0 0 22 3 0
0 0 22 4 0
0 0 23 0 0
0 0 23 1 0
0 0 23 2 0
0 0 23 3 0
0 0 23 4 0
0 0 24 0 0
0 0 24 1 0
0 0 24 2 0
0 0 24 3 0
0 0 24 4 0
0 0 25 0 0
0 0 25 1 0
0 0 25 2 0
0 0 25 3 0
0 0 25 4 0
0 0 26 0 0
0 0 26 1 0
0 0 26 2 0
0 0 26 3 0
0 0 26 4 0
0 0 27 0 0
0 0 27 1 0
0 0 27 2 0
0 0 27 3 0
0 0 27 4 0
0 0 28 0 0
0 0 28 1 0
0 0 28 2 0
0 0 28 3 0
0 0 28 4 0
0 0 29 0 0
0 0 29 1 0
0 0 29 2 0
0 0 29 3 0
0 0 29 4 0
0 0 30 0 0
0 0 30 1 0
0 0 30 2 0
0 0 30 3 0
0 0 30 4 0
0 0 31 0 0
0 0 31 1 0
0 0 31 2 0
0 0 31 3 0
0 0 31 4 0
0 0 32 0 0
0 0 32 1 0
0 0 32 2 0
0 0 32 3 0
0 0 32 4 0
0 0 33 0 0
0 0 33 1 0
0 0 33 2 0
0 0 33 3 0
0 0 33 4 0
0 0 34 0 0
0 0 34 1 0
0 0 34 2 0
0 0 34 3 0
0 0 34 4 0
0 0 35 0 0
0 0 35 1 0
0 0 35 2 0
0 0 35 3 0
0 0 35 4 0
0 0 36 0 0
0 0 36 1 0
0 0 36 2 0
0 0 36 3 0
0 0 36 4 0
0 0 37 0 0
0 0 37 1 0
0 0 37 2 0
0 0 37 3 0
0 0 37 4 0
0 0 38 0 0
0 0 38 1 0
0 0 38 2 0
0 0 38 3 0
0 0 38 4 0
0 0 39 0 0
0 0 39 1 0
0 0 39 2 0
0 0 39 3 0
0 0 39 4 0
0 0 40 0 0
0 0 40 1 0
0 0 40 2 0
0 0 40 3 0
0 0 40 4 0
0 0 41 0 0
0 0 41 1 0
0 0 41 2 0
0 0 41 3 0
0 0 41 4 0
0 0 42 0 0
0 0 42 1 0
0 0 42 2 0
0 0 42 3 0
0 0 42 4 0
0 0 43 0 0
0 0 43 1 0
0 0 43 2 0
0 0 43 3 0
0 0 43 4 0
0 0 44 0 0
0 0 44 1 0
0 0 44 2 0
0 0 44 3 0
0 0 44 4 0
0 0 45 0 0
0 0 45 1 0
0 0 45 2 0
0 0 45 3 0
0 0 45 4 0
0 0 46 0 0
0 0 46 1 0
0 0 46 2 0
0 0 46 3 0
0 0 46 4 0
0 0 47 0 0
0 0 47 1 0
0 0 47 2 0
0 0 47 3 0
0 0 47 4 0
0 0 48 0 0
0 0 48 1 0
0 0 48 2 0
0 0 48 3 0
0 0 48 4 0
0 0 49 0 0
0 0 49 1 0
0 0 49 2 0
0 0 49 3 0
0 0 49 4 0
0 0 50 0 0
0 0 50 1 0
0 0 50 2 0
0 0 50 3 0
0 0 50 4 0
0 0 51 0 0
0 0 51 1 0
0 0 51 2 0
0 0 51 3 0
0 0 51 4 0
0 0 52 0 0
0 0 52 1 0
0 0 52 2 0
0 0 52 3 0
0 0 52 4 0
0 0 53 0 0
0 0 53 1 0
0 0 53 2 0
0 0 53 3 0
0 0 53 4 0
0 0 54 0 0
0 0 54 1 0
0 0 54 2 0
0 0 54 3 0
0 0 54 4 0
0 0 55 0 0
0 0 55 1 0
0 0 55 2 0
0 0 55 3 0
0 0 55 4 0
0 0 56 0 0
0 0 56 1 0
0 0 56 2 0
0 0 56 3 0
0 0 56 4 0
0 0 57 0 0
0 0 57 1 0
0 0 57 2 0
0 0 57 3 0
0 0 57 4 0
0 0 58 0 0
0 0 58 1 0
0 0 58 2 0
0 0 58 3 0
0 0 58 4 0
0 0 59 0 0
0 0 59 1 0
0 0 59 2 0
0 0 59 3 0
0 0 59 4 0
0 0 60 0 0
0 0 60 1 0
0 0 60 2 0
0 0 60 3 0
0 0 60 4 0
0 0 61 0 0
0 0 61 1 0
0 0 61 2 0
0 0 61 3 0
0 0 61 4 0
0 0 62 0 0
0 0 62 1 0
0 0 62 2 0
0 0 62 3 0
0 0 62 4 0
0 0 63 0 0
0 0 63 1 0
0 0 63 2 0
0 0 63 3 0
0 0 63 4 0
0 0 64 0 0
0 0 64 1 0
0 0 64 2 0
0 0 64 3 0
0 0 64 4 0
0 1 0 0 0
0 1 0 1 0
0 1 0 2 0
0 1 0 3 0
0 1 0 4 0
0 1 1 0 0
0 1 1 1 0
0 1 1 2 0
0 1 1 3 0
0 1 1 4 0
0 1 2 0 0
0 1 2 1 0
0 1 2 2 0
0 1 2 3 0
0 1 2 4 0
0 1 3 0 0
0 1 3 1 0
0 1 3 2 0
0 1 3 3 0
0 1 3 4 0
0 1 4 0 0
0 1 4 1 0
0 1 4 2 0
0 1 4 3 0
0 1 4 4 0
0 1 5 0 0
0 1 5 1 0
0 1 5 2 0
0 1 5 3 0
0 1 5 4 0
0 1 6 0 0
0 1 6 1 0
0 1 6 2 0
0 1 6 3 0
0 1 6 4 0
0 1 7 0 0
0 1 7 1 0
0 1 7 2 0
0 1 7 3 0
0 1 7 4 0
0 1 8 0 0
0 1 8 1 0
0 1 8 2 0
0 1 8 3 0
0 1 8 4 0
0 1 9 0 0
0 1 9 1 0
0 1 9 2 0
0 1 9 3 0
0 1 9 4 0
0 1 10 0 0
0 1 10 1 0
0 1 10 2 0
0 1 10 3 0
0 1 10 4 0
0 1 11 0 0
0 1 11 1 0
0 1 11 2 0
0 1 11 3 0
0 1 11 4 0
0 1 12 0 0
0 1 12 1 0
0 1 12 2 0
0 1 12 3 0
0 1 12 4 0
0 1 13 0 0
0 1 13 1 0
0 1 13 2 0
0 1 13 3 0
0 1 13 4 0
0 1 14 0 0
0 1 14 1 0
0 1 14 2 0
0 1 14 3 0
0 1 14 4 0
0 1 15 0 0
0 1 15 1 0
0 1 15 2 0
0 1 15 3 0
0 1 15 4 0
0 1 16 0 0
0 1 16 1 0
0 1 16 2 0
0 1 16 3 0
0 1 16 4 0
0 1 17 0 0
0 1 17 1 0
0 1 17 2 0
0 1 17 3 0
0 1 17 4 0
0 1 18 0 0
0 1 18 1 0
0 1 18 2 0
0 1 18 3 0
0 1 18 4 0
0 1 19 0 0
0 1 19 1 0
0 1 19 2 0
0 1 19 3 0
0 1 19 4 0
0 1 20 0 0
0 1 20 1 0
0 1 20 2 0
0 1 20 3 0
0 1 20 4 0
0 1 21 0 0
0 1 21 1 0
0 1 21 2 0
0 1 21 3 0
0 1 21 4 0
0 1 22 0 0
0 1 22 1 0
0 1 22 2 0
0 1 22 3 0
0 1 22 4 0
0 1 23 0 0
0 1 23 1 0
0 1 23 2 0
0 1 23 3 0
0 1 23 4 0
0 1 24 0 0
0 1 24 1 0
0 1 24 2 0
0 1 24 3 0
0 1 24 4 0
0 1 25 0 0
0 1 25 1 0
0 1 25 2 0
0 1 25 3 0
0 1 25 4 0
0 1 26 0 0
0 1 26 1 0
0 1 26 2 0
0 1 26 3 0
0 1 26 4 0
0 1 27 0 0
0 1 27 1 0
0 1 27 2 0
0 1 27 3 0
0 1 27 4 0
0 1 28 0 0
0 1 28 1 0
0 1 28 2 0
0 1 28 3 0
0 1 28 4 0
0 1 29 0 0
0 1 29 1 0
0 1 29 2 0
0 1 29 3 0
0 1 29 4 0
0 1 30 0 0
0 1 30 1 0
0 1 30 2 0
0 1 30 3 0
0 1 30 4 0
0 1 31 0 0
0 1 31 1 0
0 1 31 2 0
0 1 31 3 0
0 1 31 4 0
0 1 32 0 0
0 1 32 1 0
0 1 32 2 0
0 1 32 3 0
0 1 32 4 0
0 1 33 0 0
0 1 33 1 0
0 1 33 2 0
0 1 33 3 0
0 1 33 4 0
0 1 34 0 0
0 1 34 1 0
0 1 34 2 0
0 1 34 3 0
0 1 34 4 0
0 1 35 0 0
0 1 35 1 0
0 1 35 2 0
0 1 35 3 0
0 1 35 4 0
0 1 36 0 0
0 1 36 1 0
0 1 36 2 0
0 1 36 3 0
0 1 36 4 0
0 1 37 0 0
0 1 37 1 0
0 1 37 2 0
0 1 37 3 0
0 1 37 4 0
0 1 38 0 0
0 1 38 1 0
0 1 38 2 0
0 1 38 3 0
0 1 38 4 0
0 1 39 0 0
0 1 39 1 0
0 1 39 2 0
0 1 39 3 0
0 1 39 4 0
0 1 40 0 0
0 1 40 1 0
0 1 40 2 0
0 1 40 3 0
0 1 40 4 0
0 1 41 0 0
0 1 41 1 0
0 1 41 2 0
0 1 41 3 0
0 1 41 4 0
0 1 42 0 0
0 1 42 1 0
0 1 42 2 0
0 1 42 3 0
0 1 42 4 0
0 1 43 0 0
0 1 43 1 0
0 1 43 2 0
0 1 43 3 0
